run_id,version,target,window_start,window_end,train_games,test_games,total_bets,wins,losses,win_rate,initial_bankroll,final_bankroll,total_roi,max_drawdown,sharpe_ratio,brier_score,auc,avg_edge,min_edge_threshold,kelly_fraction,auc_gate,min_prob,max_bet_frac,auc_gate_fired
6e9df4ac,wf_v2,total_over,2022-05-11 00:00:00,2023-06-06 00:00:00,200,40,0,0,0,0.0,1000.0,1000.0,0.0,0.0,0.0,0.241,0.5469,0.0,0.05,0.25,0.58,0.55,0.1,1
506809b6,wf_v2,total_over,2022-05-20 00:00:00,2023-06-15 00:00:00,200,40,0,0,0,0.0,1000.0,1000.0,0.0,0.0,0.0,0.2667,0.4227,0.0,0.05,0.25,0.58,0.55,0.1,1
64e6b2d2,wf_v2,total_over,2022-05-31 00:00:00,2023-06-24 00:00:00,200,40,0,0,0,0.0,1000.0,1000.0,0.0,0.0,0.0,0.2752,0.5589,0.0,0.05,0.25,0.58,0.55,0.1,1
95fc2308,wf_v2,total_over,2022-06-10 00:00:00,2023-07-02 00:00:00,200,40,0,0,0,0.0,1000.0,1000.0,0.0,0.0,0.0,0.2699,0.5013,0.0,0.05,0.25,0.58,0.55,0.1,1
781f2722,wf_v2,total_over,2022-06-19 00:00:00,2023-07-12 00:00:00,200,40,0,0,0,0.0,1000.0,1000.0,0.0,0.0,0.0,0.2687,0.4444,0.0,0.05,0.25,0.58,0.55,0.1,1
c639302a,wf_v2,total_over,2022-06-27 00:00:00,2023-07-25 00:00:00,200,40,0,0,0,0.0,1000.0,1000.0,0.0,0.0,0.0,0.2485,0.5537,0.0,0.05,0.25,0.58,0.55,0.1,1
8c9c4e73,wf_v2,total_over,2022-07-06 00:00:00,2023-08-03 00:00:00,200,40,0,0,0,0.0,1000.0,1000.0,0.0,0.0,0.0,0.2871,0.4135,0.0,0.05,0.25,0.58,0.55,0.1,1
b0c8c53c,wf_v2,total_over,2022-07-17 00:00:00,2023-08-12 00:00:00,200,40,0,0,0,0.0,1000.0,1000.0,0.0,0.0,0.0,0.2693,0.3925,0.0,0.05,0.25,0.58,0.55,0.1,1
d205a0e1,wf_v2,total_over,2022-07-29 00:00:00,2023-08-22 00:00:00,200,40,0,0,0,0.0,1000.0,1000.0,0.0,0.0,0.0,0.2702,0.4574,0.0,0.05,0.25,0.58,0.55,0.1,1
771571b8,wf_v2,total_over,2022-08-06 00:00:00,2023-09-01 00:00:00,200,40,14,8,6,0.5714,1000.0,1079.74,0.0797,0.1485,0.2185,0.2472,0.6616,0.1534,0.05,0.25,0.58,0.55,0.1,0
4dd8326a,wf_v2,total_over,2022-08-14 00:00:00,2023-09-10 00:00:00,200,40,0,0,0,0.0,1000.0,1000.0,0.0,0.0,0.0,0.2441,0.5396,0.0,0.05,0.25,0.58,0.55,0.1,1
8df5cadd,wf_v2,total_over,2023-05-27 00:00:00,2024-05-20 00:00:00,200,40,0,0,0,0.0,1000.0,1000.0,0.0,0.0,0.0,0.3044,0.5055,0.0,0.05,0.25,0.58,0.55,0.1,1
38fdd946,wf_v2,total_over,2023-06-06 00:00:00,2024-05-29 00:00:00,200,40,0,0,0,0.0,1000.0,1000.0,0.0,0.0,0.0,0.2845,0.4779,0.0,0.05,0.25,0.58,0.55,0.1,1
0cc3474b,wf_v2,total_over,2023-06-15 00:00:00,2024-06-07 00:00:00,200,40,0,0,0,0.0,1000.0,1000.0,0.0,0.0,0.0,0.2633,0.4655,0.0,0.05,0.25,0.58,0.55,0.1,1
259ce46b,wf_v2,total_over,2023-06-25 00:00:00,2024-06-15 00:00:00,200,40,0,0,0,0.0,1000.0,1000.0,0.0,0.0,0.0,0.2837,0.3997,0.0,0.05,0.25,0.58,0.55,0.1,1
80a01f62,wf_v2,total_over,2023-07-05 00:00:00,2024-06-23 00:00:00,200,40,0,0,0,0.0,1000.0,1000.0,0.0,0.0,0.0,0.2596,0.3763,0.0,0.05,0.25,0.58,0.55,0.1,1
0cc07ee6,wf_v2,total_over,2023-07-12 00:00:00,2024-07-04 00:00:00,200,40,0,0,0,0.0,1000.0,1000.0,0.0,0.0,0.0,0.2508,0.5326,0.0,0.05,0.25,0.58,0.55,0.1,1
0c65c8e1,wf_v2,total_over,2023-07-25 00:00:00,2024-07-12 00:00:00,200,40,0,0,0,0.0,1000.0,1000.0,0.0,0.0,0.0,0.2625,0.5564,0.0,0.05,0.25,0.58,0.55,0.1,1
3841e3ec,wf_v2,total_over,2023-08-04 00:00:00,2024-08-17 00:00:00,200,40,10,7,3,0.7,1000.0,1342.99,0.343,0.205,1.0858,0.2389,0.6553,0.1814,0.05,0.25,0.58,0.55,0.1,0
1770f4f9,wf_v2,total_over,2023-08-12 00:00:00,2024-08-26 00:00:00,200,40,11,8,3,0.7273,1000.0,1259.89,0.2599,0.0725,1.7691,0.2394,0.6892,0.0826,0.05,0.25,0.58,0.55,0.1,0
f8ac2edd,wf_v2,total_over,2023-08-23 00:00:00,2024-09-03 00:00:00,200,40,17,9,8,0.5294,1000.0,1078.57,0.0786,0.2482,0.1087,0.2511,0.6228,0.2652,0.05,0.25,0.58,0.55,0.1,0
cd2e7b85,wf_v2,total_over,2023-09-01 00:00:00,2024-09-11 00:00:00,200,40,16,10,6,0.625,1000.0,1285.36,0.2854,0.19,0.6406,0.2517,0.609,0.2452,0.05,0.25,0.58,0.55,0.1,0
407fc642,wf_v2,total_over,2023-09-10 00:00:00,2024-09-19 00:00:00,200,40,19,12,7,0.6316,1000.0,1530.06,0.5301,0.1743,1.7351,0.1915,0.806,0.1817,0.05,0.25,0.58,0.55,0.1,0
