run_id,version,target,window_start,window_end,train_games,test_games,total_bets,wins,losses,win_rate,initial_bankroll,final_bankroll,total_roi,max_drawdown,sharpe_ratio,brier_score,auc,avg_edge,min_edge_threshold,kelly_fraction,auc_gate,min_prob,max_bet_frac,auc_gate_fired
fb9d8912,wf_v2,home_win,2019-05-24 00:00:00,2021-05-25 00:00:00,300,60,28,12,16,0.4286,1000.0,463.1,-0.5369,0.5882,-2.3546,0.314,0.613,0.1966,0.05,0.25,0.58,0.55,0.1,0
db6510f0,wf_v2,home_win,2019-06-11 00:00:00,2021-06-09 00:00:00,300,60,11,6,5,0.5455,1000.0,751.65,-0.2484,0.3695,-0.8115,0.2649,0.6229,0.1836,0.05,0.25,0.58,0.55,0.1,0
d197989f,wf_v2,home_win,2019-06-26 00:00:00,2021-06-24 00:00:00,300,60,0,0,0,0.0,1000.0,1000.0,0.0,0.0,0.0,0.2115,0.7483,0.0,0.05,0.25,0.58,0.55,0.1,0
b26256ed,wf_v2,home_win,2019-07-12 00:00:00,2021-07-10 00:00:00,300,60,13,7,6,0.5385,1000.0,830.45,-0.1696,0.236,-1.4335,0.2727,0.6127,0.1004,0.05,0.25,0.58,0.55,0.1,0
9376cb52,wf_v2,home_win,2019-07-31 00:00:00,2021-08-24 00:00:00,300,60,10,4,6,0.4,1000.0,878.96,-0.121,0.1389,-0.5778,0.2585,0.6246,0.0969,0.05,0.25,0.58,0.55,0.1,0
c3123d3b,wf_v2,home_win,2019-08-16 00:00:00,2021-09-10 00:00:00,300,60,4,4,0,1.0,1000.0,1228.66,0.2287,0.0,7.7424,0.1581,0.8996,0.1375,0.05,0.25,0.58,0.55,0.1,0
8fc972e6,wf_v2,home_win,2019-08-29 00:00:00,2022-05-11 00:00:00,300,60,12,8,4,0.6667,1000.0,1005.96,0.006,0.239,-0.1147,0.2109,0.7449,0.1401,0.05,0.25,0.58,0.55,0.1,0
9ade3fe6,wf_v2,home_win,2020-07-28 00:00:00,2022-05-24 00:00:00,300,60,18,9,9,0.5,1000.0,799.8,-0.2002,0.4188,-1.0812,0.2528,0.6602,0.1319,0.05,0.25,0.58,0.55,0.1,0
cf3730d0,wf_v2,home_win,2020-08-08 00:00:00,2022-06-08 00:00:00,300,60,10,8,2,0.8,1000.0,1168.99,0.169,0.1298,1.0305,0.217,0.7195,0.1135,0.05,0.25,0.58,0.55,0.1,0
72019962,wf_v2,home_win,2020-08-19 00:00:00,2022-06-23 00:00:00,300,60,9,8,1,0.8889,1000.0,1340.43,0.3404,0.0654,2.0946,0.2138,0.7138,0.1209,0.05,0.25,0.58,0.55,0.1,0
ce47c080,wf_v2,home_win,2020-09-01 00:00:00,2022-07-06 00:00:00,300,60,6,5,1,0.8333,1000.0,1079.99,0.08,0.0972,16.3052,0.2403,0.6244,0.1167,0.05,0.25,0.58,0.55,0.1,0
fd26a7a0,wf_v2,home_win,2020-09-12 00:00:00,2022-07-22 00:00:00,300,60,14,9,5,0.6429,1000.0,1028.71,0.0287,0.1449,0.0716,0.2185,0.6936,0.0999,0.05,0.25,0.58,0.55,0.1,0
b8900033,wf_v2,home_win,2021-05-25 00:00:00,2022-08-05 00:00:00,300,60,12,9,3,0.75,1000.0,1061.89,0.0619,0.1382,0.3474,0.2047,0.7346,0.1064,0.05,0.25,0.58,0.55,0.1,0
f5e75349,wf_v2,home_win,2021-06-09 00:00:00,2023-05-20 00:00:00,300,60,19,13,6,0.6842,1000.0,1231.77,0.2318,0.1008,0.8279,0.2107,0.7166,0.1217,0.05,0.25,0.58,0.55,0.1,0
8069e5c3,wf_v2,home_win,2021-06-24 00:00:00,2023-06-06 00:00:00,300,60,29,19,10,0.6552,1000.0,1136.21,0.1362,0.1526,0.4761,0.2015,0.7681,0.1318,0.05,0.25,0.58,0.55,0.1,0
2621ddfd,wf_v2,home_win,2021-07-11 00:00:00,2023-06-20 00:00:00,300,60,31,19,12,0.6129,1000.0,996.44,-0.0036,0.2916,0.0568,0.2463,0.6657,0.1328,0.05,0.25,0.58,0.55,0.1,0
494219b6,wf_v2,home_win,2021-08-25 00:00:00,2023-07-02 00:00:00,300,60,21,14,7,0.6667,1000.0,1202.36,0.2024,0.1775,0.8282,0.2351,0.6261,0.1209,0.05,0.25,0.58,0.55,0.1,0
203b6bfe,wf_v2,home_win,2021-09-11 00:00:00,2023-07-20 00:00:00,300,60,11,7,4,0.6364,1000.0,986.26,-0.0137,0.1,0.2038,0.2194,0.716,0.1162,0.05,0.25,0.58,0.55,0.1,0
e07618e0,wf_v2,home_win,2022-05-11 00:00:00,2023-08-03 00:00:00,300,60,13,11,2,0.8462,1000.0,1347.19,0.3472,0.122,1.482,0.2045,0.7411,0.1582,0.05,0.25,0.58,0.55,0.1,0
0008a940,wf_v2,home_win,2022-05-25 00:00:00,2023-08-18 00:00:00,300,60,19,12,7,0.6316,1000.0,1002.66,0.0027,0.2474,0.4457,0.236,0.6655,0.205,0.05,0.25,0.58,0.55,0.1,0
797abcd5,wf_v2,home_win,2022-06-10 00:00:00,2023-09-01 00:00:00,300,60,15,7,8,0.4667,1000.0,788.87,-0.2111,0.2551,-0.5218,0.2594,0.6055,0.1653,0.05,0.25,0.58,0.55,0.1,0
83cb3d4d,wf_v2,home_win,2022-06-23 00:00:00,2024-05-15 00:00:00,300,60,15,9,6,0.6,1000.0,980.04,-0.02,0.1613,0.4883,0.2216,0.7243,0.1498,0.05,0.25,0.58,0.55,0.1,0
e432c1dc,wf_v2,home_win,2022-07-06 00:00:00,2024-05-29 00:00:00,300,60,20,14,6,0.7,1000.0,997.98,-0.002,0.2322,-0.2387,0.2132,0.7171,0.1777,0.05,0.25,0.58,0.55,0.1,0
f5bbdbb4,wf_v2,home_win,2022-07-22 00:00:00,2024-06-10 00:00:00,300,60,21,13,8,0.619,1000.0,866.16,-0.1338,0.2665,-0.5825,0.2518,0.6616,0.1489,0.05,0.25,0.58,0.55,0.1,0
3c432f2a,wf_v2,home_win,2022-08-06 00:00:00,2024-06-23 00:00:00,300,60,9,9,0,1.0,1000.0,1426.72,0.4267,0.0,6.3316,0.2319,0.6561,0.1249,0.05,0.25,0.58,0.55,0.1,0
20083cb1,wf_v2,home_win,2023-05-21 00:00:00,2024-07-07 00:00:00,300,60,12,10,2,0.8333,1000.0,1421.3,0.4213,0.0612,3.6262,0.2159,0.7135,0.1314,0.05,0.25,0.58,0.55,0.1,0
967c778a,wf_v2,home_win,2023-06-06 00:00:00,2024-08-17 00:00:00,300,60,14,11,3,0.7857,1000.0,1603.57,0.6036,0.1038,1.4871,0.2179,0.7572,0.1971,0.05,0.25,0.58,0.55,0.1,0
