run_id,version,target,window_start,window_end,train_games,test_games,total_bets,wins,losses,win_rate,initial_bankroll,final_bankroll,total_roi,max_drawdown,sharpe_ratio,brier_score,auc,avg_edge,min_edge_threshold,kelly_fraction,auc_gate,min_prob,max_bet_frac,auc_gate_fired
8464a71f,wf_v2,home_win,2019-05-24 00:00:00,2021-05-25 00:00:00,300,60,28,12,16,0.4286,1000.0,463.1,-0.5369,0.5882,-2.3546,0.314,0.613,0.1966,0.05,0.25,0.58,0.55,0.1,0
5da7228d,wf_v2,home_win,2019-06-11 00:00:00,2021-06-09 00:00:00,300,60,11,6,5,0.5455,1000.0,751.65,-0.2484,0.3695,-0.8115,0.2649,0.6229,0.1836,0.05,0.25,0.58,0.55,0.1,0
6feab3a2,wf_v2,home_win,2019-06-26 00:00:00,2021-06-24 00:00:00,300,60,0,0,0,0.0,1000.0,1000.0,0.0,0.0,0.0,0.2115,0.7483,0.0,0.05,0.25,0.58,0.55,0.1,0
df553c96,wf_v2,home_win,2019-07-12 00:00:00,2021-07-10 00:00:00,300,60,13,7,6,0.5385,1000.0,830.45,-0.1696,0.236,-1.4335,0.2727,0.6127,0.1004,0.05,0.25,0.58,0.55,0.1,0
ca2d191e,wf_v2,home_win,2019-07-31 00:00:00,2021-08-24 00:00:00,300,60,10,4,6,0.4,1000.0,878.96,-0.121,0.1389,-0.5778,0.2585,0.6246,0.0969,0.05,0.25,0.58,0.55,0.1,0
64592cbe,wf_v2,home_win,2019-08-16 00:00:00,2021-09-10 00:00:00,300,60,4,4,0,1.0,1000.0,1228.66,0.2287,0.0,7.7424,0.1581,0.8996,0.1375,0.05,0.25,0.58,0.55,0.1,0
494a286f,wf_v2,home_win,2019-08-29 00:00:00,2022-05-11 00:00:00,300,60,12,8,4,0.6667,1000.0,1005.96,0.006,0.239,-0.1147,0.2109,0.7449,0.1401,0.05,0.25,0.58,0.55,0.1,0
5b227b86,wf_v2,home_win,2020-07-28 00:00:00,2022-05-24 00:00:00,300,60,18,9,9,0.5,1000.0,799.8,-0.2002,0.4188,-1.0812,0.2528,0.6602,0.1319,0.05,0.25,0.58,0.55,0.1,0
8826c172,wf_v2,home_win,2020-08-08 00:00:00,2022-06-08 00:00:00,300,60,10,8,2,0.8,1000.0,1168.99,0.169,0.1298,1.0305,0.217,0.7195,0.1135,0.05,0.25,0.58,0.55,0.1,0
73af07fd,wf_v2,home_win,2020-08-19 00:00:00,2022-06-23 00:00:00,300,60,9,8,1,0.8889,1000.0,1340.43,0.3404,0.0654,2.0946,0.2138,0.7138,0.1209,0.05,0.25,0.58,0.55,0.1,0
