run_id,version,target,window_start,window_end,train_games,test_games,total_bets,wins,losses,win_rate,initial_bankroll,final_bankroll,total_roi,max_drawdown,sharpe_ratio,brier_score,auc,avg_edge,min_edge_threshold,kelly_fraction,auc_gate,min_prob,max_bet_frac,auc_gate_fired
58688546,wf_v2,home_win,2019-05-24 00:00:00,2020-08-07 00:00:00,200,40,17,13,4,0.7647,1000.0,1242.48,0.2425,0.2094,0.8867,0.2369,0.6772,0.1988,0.05,0.25,0.58,0.55,0.1,0
7550bbef,wf_v2,home_win,2019-06-06 00:00:00,2020-08-14 00:00:00,200,40,16,11,5,0.6875,1000.0,1159.94,0.1599,0.1439,1.1548,0.2394,0.6739,0.2716,0.05,0.25,0.58,0.55,0.1,0
96037edc,wf_v2,home_win,2019-06-15 00:00:00,2020-08-22 00:00:00,200,40,22,19,3,0.8636,1000.0,2135.57,1.1356,0.1,2.808,0.163,0.8268,0.1871,0.05,0.25,0.58,0.55,0.1,0
e03a1e66,wf_v2,home_win,2019-06-26 00:00:00,2020-09-01 00:00:00,200,40,27,18,9,0.6667,1000.0,1114.01,0.114,0.3204,0.3438,0.2147,0.7707,0.1955,0.05,0.25,0.58,0.55,0.1,0
4ba60706,wf_v2,home_win,2019-07-07 00:00:00,2020-09-08 00:00:00,200,40,22,12,10,0.5455,1000.0,696.65,-0.3034,0.3831,-0.8822,0.2627,0.7187,0.2057,0.05,0.25,0.58,0.55,0.1,0
ae9a6876,wf_v2,home_win,2019-07-17 00:00:00,2021-05-14 00:00:00,200,40,15,6,9,0.4,1000.0,561.08,-0.4389,0.4389,-1.6345,0.2841,0.6614,0.2358,0.05,0.25,0.58,0.55,0.1,0
5484a6a7,wf_v2,home_win,2019-07-31 00:00:00,2021-05-25 00:00:00,200,40,11,4,7,0.3636,1000.0,614.52,-0.3855,0.4084,-2.6549,0.2679,0.5923,0.1759,0.05,0.25,0.58,0.55,0.1,0
d484b0f6,wf_v2,home_win,2019-08-11 00:00:00,2021-06-03 00:00:00,200,40,1,0,1,0.0,1000.0,915.07,-0.0849,0.0849,0.0,0.2443,0.7,0.0963,0.05,0.25,0.58,0.55,0.1,0
37b6374a,wf_v2,home_win,2019-08-20 00:00:00,2021-06-13 00:00:00,200,40,2,2,0,1.0,1000.0,1092.16,0.0922,0.0,49528037.6238,0.2442,0.7046,0.1019,0.05,0.25,0.58,0.55,0.1,0
35173db6,wf_v2,home_win,2019-08-29 00:00:00,2021-06-24 00:00:00,200,40,5,4,1,0.8,1000.0,1017.64,0.0176,0.0979,-0.0005,0.2438,0.6437,0.1042,0.05,0.25,0.58,0.55,0.1,0
18f60d60,wf_v2,home_win,2019-09-08 00:00:00,2021-07-04 00:00:00,200,40,5,3,2,0.6,1000.0,880.98,-0.119,0.1439,-0.1489,0.2657,0.6028,0.1402,0.05,0.25,0.58,0.55,0.1,0
70864367,wf_v2,home_win,2020-07-31 00:00:00,2021-08-15 00:00:00,200,40,0,0,0,0.0,1000.0,1000.0,0.0,0.0,0.0,0.2678,0.5281,0.0,0.05,0.25,0.58,0.55,0.1,1
87fbf06b,wf_v2,home_win,2020-08-08 00:00:00,2021-08-24 00:00:00,200,40,6,5,1,0.8333,1000.0,1133.83,0.1338,0.1,24.5274,0.2335,0.6509,0.1873,0.05,0.25,0.58,0.55,0.1,0
f36226c5,wf_v2,home_win,2020-08-14 00:00:00,2021-09-04 00:00:00,200,40,1,1,0,1.0,1000.0,1019.62,0.0196,0.0,0.0,0.1996,0.8389,0.0533,0.05,0.25,0.58,0.55,0.1,0
c863c18f,wf_v2,home_win,2020-08-22 00:00:00,2021-09-17 00:00:00,200,40,1,1,0,1.0,1000.0,1045.49,0.0455,0.0,0.0,0.1754,0.9141,0.1087,0.05,0.25,0.58,0.55,0.1,0
0b52973c,wf_v2,home_win,2020-09-01 00:00:00,2022-05-11 00:00:00,200,40,3,3,0,1.0,1000.0,1124.04,0.124,0.0,61.6559,0.2398,0.6573,0.1585,0.05,0.25,0.58,0.55,0.1,0
