run_id,version,target,window_start,window_end,train_games,test_games,total_bets,wins,losses,win_rate,initial_bankroll,final_bankroll,total_roi,max_drawdown,sharpe_ratio,brier_score,auc,avg_edge,min_edge_threshold,kelly_fraction,auc_gate,min_prob,max_bet_frac,auc_gate_fired
ac556a36,wf_v2,home_win,2019-05-24 00:00:00,2020-08-07 00:00:00,200,40,16,12,4,0.75,1000.0,1408.29,0.4083,0.1439,1.2387,0.2262,0.6841,0.2358,0.05,0.25,0.58,0.55,0.1,0
1d033267,wf_v2,home_win,2019-06-06 00:00:00,2020-08-14 00:00:00,200,40,19,14,5,0.7368,1000.0,1421.07,0.4211,0.123,1.7553,0.2273,0.7072,0.2907,0.05,0.25,0.58,0.55,0.1,0
21985e17,wf_v2,home_win,2019-06-15 00:00:00,2020-08-22 00:00:00,200,40,24,19,5,0.7917,1000.0,2048.94,1.0489,0.1,2.6036,0.1564,0.8346,0.2019,0.05,0.25,0.58,0.55,0.1,0
bb616965,wf_v2,home_win,2019-06-26 00:00:00,2020-09-01 00:00:00,200,40,29,18,11,0.6207,1000.0,1024.12,0.0241,0.3778,0.0906,0.216,0.7544,0.1879,0.05,0.25,0.58,0.55,0.1,0
eefcf2b8,wf_v2,home_win,2019-07-07 00:00:00,2020-09-08 00:00:00,200,40,22,11,11,0.5,1000.0,670.5,-0.3295,0.3955,-1.1084,0.2617,0.7347,0.1983,0.05,0.25,0.58,0.55,0.1,0
e483a203,wf_v2,home_win,2019-07-17 00:00:00,2021-05-14 00:00:00,200,40,14,6,8,0.4286,1000.0,668.28,-0.3317,0.4253,-1.9134,0.2709,0.6661,0.2164,0.05,0.25,0.58,0.55,0.1,0
a845bbad,wf_v2,home_win,2019-07-31 00:00:00,2021-05-25 00:00:00,200,40,10,4,6,0.4,1000.0,683.57,-0.3164,0.3671,-2.1706,0.2629,0.5893,0.1867,0.05,0.25,0.58,0.55,0.1,0
2707900e,wf_v2,home_win,2019-08-11 00:00:00,2021-06-03 00:00:00,200,40,1,1,0,1.0,1000.0,1018.68,0.0187,0.0,0.0,0.2567,0.6913,0.0581,0.05,0.25,0.58,0.55,0.1,0
9323dcfe,wf_v2,home_win,2019-08-20 00:00:00,2021-06-13 00:00:00,200,40,0,0,0,0.0,1000.0,1000.0,0.0,0.0,0.0,0.239,0.7724,0.0,0.05,0.25,0.58,0.55,0.1,0
83366c54,wf_v2,home_win,2019-08-29 00:00:00,2021-06-24 00:00:00,200,40,4,3,1,0.75,1000.0,1010.75,0.0107,0.0592,-0.4414,0.2152,0.7412,0.0712,0.05,0.25,0.58,0.55,0.1,0
26a9e7cf,wf_v2,home_win,2019-09-08 00:00:00,2021-07-04 00:00:00,200,40,1,0,1,0.0,1000.0,914.36,-0.0856,0.0856,0.0,0.2544,0.6378,0.1446,0.05,0.25,0.58,0.55,0.1,0
012a2228,wf_v2,home_win,2020-07-31 00:00:00,2021-08-15 00:00:00,200,40,4,3,1,0.75,1000.0,1079.32,0.0793,0.0533,0.3682,0.2675,0.633,0.1006,0.05,0.25,0.58,0.55,0.1,0
41afbbb7,wf_v2,home_win,2020-08-08 00:00:00,2021-08-24 00:00:00,200,40,8,6,2,0.75,1000.0,1184.14,0.1841,0.1,3.1372,0.2226,0.702,0.1621,0.05,0.25,0.58,0.55,0.1,0
ec036116,wf_v2,home_win,2020-08-14 00:00:00,2021-09-04 00:00:00,200,40,5,5,0,1.0,1000.0,1269.95,0.2699,0.0,3.2128,0.1877,0.8478,0.1148,0.05,0.25,0.58,0.55,0.1,0
9f91f099,wf_v2,home_win,2020-08-22 00:00:00,2021-09-17 00:00:00,200,40,1,1,0,1.0,1000.0,1048.81,0.0488,0.0,0.0,0.1616,0.8763,0.1204,0.05,0.25,0.58,0.55,0.1,0
f5ace4a1,wf_v2,home_win,2020-09-01 00:00:00,2022-05-11 00:00:00,200,40,3,3,0,1.0,1000.0,1089.15,0.0892,0.0,61.6559,0.235,0.6816,0.1768,0.05,0.25,0.58,0.55,0.1,0
5d171d80,wf_v2,home_win,2020-09-08 00:00:00,2022-05-20 00:00:00,200,40,0,0,0,0.0,1000.0,1000.0,0.0,0.0,0.0,0.2569,0.5702,0.0,0.05,0.25,0.58,0.55,0.1,1
aa67f412,wf_v2,home_win,2021-05-15 00:00:00,2022-05-31 00:00:00,200,40,13,9,4,0.6923,1000.0,1076.98,0.077,0.1924,0.8078,0.2058,0.7707,0.1504,0.05,0.25,0.58,0.55,0.1,0
a0b09ee3,wf_v2,home_win,2021-05-25 00:00:00,2022-06-08 00:00:00,200,40,13,11,2,0.8462,1000.0,1247.47,0.2475,0.1,1.2205,0.2135,0.7066,0.1656,0.05,0.25,0.58,0.55,0.1,0
7edd0cce,wf_v2,home_win,2021-06-04 00:00:00,2022-06-19 00:00:00,200,40,14,10,4,0.7143,1000.0,1222.07,0.2221,0.2518,0.8366,0.2093,0.7163,0.1373,0.05,0.25,0.58,0.55,0.1,0
6dca9fec,wf_v2,home_win,2021-06-15 00:00:00,2022-06-27 00:00:00,200,40,0,0,0,0.0,1000.0,1000.0,0.0,0.0,0.0,0.2934,0.553,0.0,0.05,0.25,0.58,0.55,0.1,1
9b60abe7,wf_v2,home_win,2021-06-24 00:00:00,2022-07-06 00:00:00,200,40,0,0,0,0.0,1000.0,1000.0,0.0,0.0,0.0,0.2997,0.4867,0.0,0.05,0.25,0.58,0.55,0.1,1
15feb195,wf_v2,home_win,2021-07-04 00:00:00,2022-07-17 00:00:00,200,40,7,5,2,0.7143,1000.0,1138.89,0.1389,0.1,0.1229,0.2158,0.7212,0.1537,0.05,0.25,0.58,0.55,0.1,0
5e0c9d63,wf_v2,home_win,2021-08-15 00:00:00,2022-07-28 00:00:00,200,40,12,10,2,0.8333,1000.0,1208.7,0.2087,0.1,1.1296,0.2055,0.7675,0.12,0.05,0.25,0.58,0.55,0.1,0
bcf04e52,wf_v2,home_win,2021-08-25 00:00:00,2022-08-05 00:00:00,200,40,11,9,2,0.8182,1000.0,1162.76,0.1628,0.0882,1.0101,0.2495,0.6709,0.1156,0.05,0.25,0.58,0.55,0.1,0
e710122c,wf_v2,home_win,2021-09-05 00:00:00,2022-08-14 00:00:00,200,40,19,11,8,0.5789,1000.0,962.52,-0.0375,0.2495,-0.1279,0.2235,0.6675,0.1056,0.05,0.25,0.58,0.55,0.1,0
580914a9,wf_v2,home_win,2021-09-17 00:00:00,2023-05-27 00:00:00,200,40,18,10,8,0.5556,1000.0,876.07,-0.1239,0.3034,-0.5546,0.2076,0.802,0.1093,0.05,0.25,0.58,0.55,0.1,0
4891f3d4,wf_v2,home_win,2022-05-11 00:00:00,2023-06-06 00:00:00,200,40,11,8,3,0.7273,1000.0,943.6,-0.0564,0.1821,-0.4289,0.2193,0.718,0.1267,0.05,0.25,0.58,0.55,0.1,0
15a9e36b,wf_v2,home_win,2022-05-20 00:00:00,2023-06-15 00:00:00,200,40,17,10,7,0.5882,1000.0,935.16,-0.0648,0.1546,-0.4272,0.271,0.5802,0.1053,0.05,0.25,0.58,0.55,0.1,0
5cbbd861,wf_v2,home_win,2022-05-31 00:00:00,2023-06-24 00:00:00,200,40,9,7,2,0.7778,1000.0,1177.84,0.1778,0.0429,1.462,0.2383,0.6629,0.1052,0.05,0.25,0.58,0.55,0.1,0
85b9c7f0,wf_v2,home_win,2022-06-10 00:00:00,2023-07-02 00:00:00,200,40,8,7,1,0.875,1000.0,1220.9,0.2209,0.0557,1.9514,0.2067,0.7059,0.137,0.05,0.25,0.58,0.55,0.1,0
a0fcfc8b,wf_v2,home_win,2022-06-19 00:00:00,2023-07-12 00:00:00,200,40,6,6,0,1.0,1000.0,1268.02,0.268,0.0,5.8168,0.1995,0.7445,0.2125,0.05,0.25,0.58,0.55,0.1,0
d5562350,wf_v2,home_win,2022-06-27 00:00:00,2023-07-25 00:00:00,200,40,15,13,2,0.8667,1000.0,1412.25,0.4123,0.1491,1.9073,0.1789,0.8235,0.1265,0.05,0.25,0.58,0.55,0.1,0
e0f18d62,wf_v2,home_win,2022-07-06 00:00:00,2023-08-03 00:00:00,200,40,16,12,4,0.75,1000.0,1538.98,0.539,0.1391,1.6714,0.1985,0.7609,0.162,0.05,0.25,0.58,0.55,0.1,0
8d09bdfa,wf_v2,home_win,2022-07-17 00:00:00,2023-08-12 00:00:00,200,40,11,7,4,0.6364,1000.0,912.57,-0.0874,0.271,-0.0708,0.2446,0.6301,0.1601,0.05,0.25,0.58,0.55,0.1,0
f94d82dc,wf_v2,home_win,2022-07-29 00:00:00,2023-08-22 00:00:00,200,40,0,0,0,0.0,1000.0,1000.0,0.0,0.0,0.0,0.2723,0.5442,0.0,0.05,0.25,0.58,0.55,0.1,1
7a8d627b,wf_v2,home_win,2022-08-06 00:00:00,2023-09-01 00:00:00,200,40,6,3,3,0.5,1000.0,879.94,-0.1201,0.1746,-1.2135,0.2626,0.5884,0.1385,0.05,0.25,0.58,0.55,0.1,0
fc320333,wf_v2,home_win,2022-08-14 00:00:00,2023-09-10 00:00:00,200,40,11,8,3,0.7273,1000.0,1221.3,0.2213,0.1652,1.1623,0.2053,0.7268,0.1638,0.05,0.25,0.58,0.55,0.1,0
98e93f9e,wf_v2,home_win,2023-05-27 00:00:00,2024-05-20 00:00:00,200,40,12,10,2,0.8333,1000.0,1194.31,0.1943,0.1,0.817,0.1876,0.7917,0.1343,0.05,0.25,0.58,0.55,0.1,0
7846c806,wf_v2,home_win,2023-06-06 00:00:00,2024-05-29 00:00:00,200,40,13,8,5,0.6154,1000.0,808.87,-0.1911,0.2436,-0.5885,0.2415,0.6466,0.1112,0.05,0.25,0.58,0.55,0.1,0
582d5111,wf_v2,home_win,2023-06-15 00:00:00,2024-06-07 00:00:00,200,40,11,7,4,0.6364,1000.0,871.73,-0.1283,0.2737,-0.0898,0.2353,0.7068,0.1689,0.05,0.25,0.58,0.55,0.1,0
0c08d25f,wf_v2,home_win,2023-06-25 00:00:00,2024-06-15 00:00:00,200,40,8,4,4,0.5,1000.0,1003.89,0.0039,0.1372,-0.0941,0.2597,0.5952,0.106,0.05,0.25,0.58,0.55,0.1,0
a6eac5c3,wf_v2,home_win,2023-07-05 00:00:00,2024-06-23 00:00:00,200,40,15,12,3,0.8,1000.0,1489.78,0.4898,0.1238,2.8118,0.2515,0.6011,0.1108,0.05,0.25,0.58,0.55,0.1,0
d427b1e9,wf_v2,home_win,2023-07-12 00:00:00,2024-07-04 00:00:00,200,40,10,10,0,1.0,1000.0,1783.17,0.7832,0.0,3.9788,0.2011,0.8091,0.1451,0.05,0.25,0.58,0.55,0.1,0
735b24f1,wf_v2,home_win,2023-07-25 00:00:00,2024-07-12 00:00:00,200,40,11,9,2,0.8182,1000.0,1532.53,0.5325,0.1328,1.8337,0.1981,0.7854,0.1482,0.05,0.25,0.58,0.55,0.1,0
0d209819,wf_v2,home_win,2023-08-04 00:00:00,2024-08-17 00:00:00,200,40,9,7,2,0.7778,1000.0,1172.17,0.1722,0.1,1.8977,0.2188,0.7231,0.2222,0.05,0.25,0.58,0.55,0.1,0
c8f679a2,wf_v2,home_win,2023-08-12 00:00:00,2024-08-26 00:00:00,200,40,11,7,4,0.6364,1000.0,1095.16,0.0952,0.128,0.2791,0.251,0.6328,0.1851,0.05,0.25,0.58,0.55,0.1,0
b8975e8b,wf_v2,home_win,2023-08-23 00:00:00,2024-09-03 00:00:00,200,40,15,9,6,0.6,1000.0,891.85,-0.1082,0.243,-0.4351,0.2667,0.5852,0.1568,0.05,0.25,0.58,0.55,0.1,0
9f9f4fea,wf_v2,home_win,2023-09-01 00:00:00,2024-09-11 00:00:00,200,40,12,9,3,0.75,1000.0,1073.81,0.0738,0.1,1.3708,0.209,0.726,0.1088,0.05,0.25,0.58,0.55,0.1,0
250f8f79,wf_v2,home_win,2023-09-10 00:00:00,2024-09-19 00:00:00,200,40,3,3,0,1.0,1000.0,1140.64,0.1406,0.0,4.3953,0.1983,0.8086,0.1184,0.05,0.25,0.58,0.55,0.1,0
